ID;Kolejka;Data;Zespol1-Nazwa;Zespol1-Bramki;Zespol2-Nazwa;Zespol2-Bramki;Zespol1-Posiadanie piłki;Zespol1-Strzały;Zespol1-Strzały celne;Zespol1-Strzały niecelne;Zespol1-Strzały zablokowane;Zespol1-Ataki;Zespol1-Groźne ataki;Zespol1-Kartki;Zespol1-Faule;Zespol1-Rzuty wolne;Zespol1-Rzuty rożne;Zespol1-Spalone;Zespol2-Posiadanie piłki;Zespol2-Strzały;Zespol2-Strzały celne;Zespol2-Strzały niecelne;Zespol2-Strzały zablokowane;Zespol2-Ataki;Zespol2-Groźne ataki;Zespol2-Kartki;Zespol2-Faule;Zespol2-Rzuty wolne;Zespol2-Rzuty rożne;Zespol2-Spalone
46;25;2021-04-16 20:30:00;Górnik Zabrze;1;Śląsk Wrocław;1;48;13;7;6;0;100;71;4;24;11;7;2;52;9;4;5;0;100;52;3;11;26;3;0
47;25;2021-04-16 18:00:00;Podbeskidzie;0;Pogoń Szczecin;2;56;10;4;3;3;101;62;4;11;12;9;1;44;11;7;3;1;86;50;3;10;12;7;2
48;24;2021-04-12 18:00:00;Piast Gliwice;2;Górnik Zabrze;0;48;12;5;3;4;88;46;0;10;14;5;3;52;10;3;6;1;92;51;2;13;13;7;1
49;24;2021-04-11 17:30:00;Lech Poznań;0;Legia Warszawa;0;51;9;3;5;1;89;43;3;19;13;2;4;49;7;6;0;1;75;56;1;10;23;6;3
50;24;2021-04-11 15:00:00;Zagłębie Lubin;2;Podbeskidzie;1;53;14;7;4;3;106;71;4;12;21;7;1;47;17;5;8;4;103;45;0;18;13;5;3
51;24;2021-04-10 20:00:00;Śląsk Wrocław;1;Lechia Gdańsk;1;53;16;5;5;6;103;65;2;16;14;4;2;47;10;3;4;3;117;57;2;12;18;2;2
52;24;2021-04-10 17:30:00;Warta Poznań;0;Stal Mielec;0;54;14;2;7;5;102;60;1;10;12;7;2;46;9;1;5;3;88;45;3;10;12;4;2
53;24;2021-04-10 15:00:00;Pogoń Szczecin;2;Wisła Płock;0;52;9;5;3;1;102;54;1;10;10;3;2;48;7;1;5;1;89;59;0;10;12;8;0
54;24;2021-04-09 20:30:00;Wisła Kraków;1;Raków Częstochowa;2;51;15;5;10;0;83;28;5;23;11;5;0;49;11;5;6;0;87;24;2;10;23;3;1
55;24;2021-04-09 18:00:00;Jagiellonia Białystok;2;Cracovia;1;46;10;4;0;6;94;51;3;16;17;1;0;54;14;6;4;4;102;85;3;15;16;8;2
56;23;2021-05-05 19:00:00;Stal Mielec;0;Raków Częstochowa;1;45;7;3;2;2;73;35;1;16;19;2;0;55;11;2;7;2;103;48;1;16;16;5;3
57;23;2021-04-05 20:00:00;Lechia Gdańsk;3;Zagłębie Lubin;1;48;15;7;7;1;75;26;2;20;19;3;2;52;13;4;6;3;87;31;4;18;22;4;1
58;23;2021-04-05 17:30:00;Jagiellonia Białystok;0;Śląsk Wrocław;1;60;16;4;8;4;105;69;6;15;15;6;3;40;15;3;7;5;82;41;2;12;18;7;3
59;23;2021-04-05 15:00:00;Podbeskidzie;2;Wisła Kraków;0;50;23;7;10;6;71;45;3;18;13;6;0;50;19;6;9;4;112;60;2;11;18;5;2
60;23;2021-04-05 12:30:00;Górnik Zabrze;1;Warta Poznań;2;54;14;1;7;6;105;74;3;10;14;10;2;46;13;7;5;1;80;54;0;10;12;7;4
61;23;2021-04-03 20:00:00;Cracovia;2;Lech Poznań;1;38;13;6;7;0;45;40;5;12;15;3;3;62;13;3;10;0;78;46;1;14;15;4;1
62;23;2021-04-03 17:30:00;Legia Warszawa;4;Pogoń Szczecin;2;44;13;7;3;3;91;47;3;15;15;3;1;56;16;6;5;5;108;59;4;15;16;4;0
63;23;2021-04-03 12:30:00;Wisła Płock;0;Piast Gliwice;1;58;10;2;7;1;124;69;3;18;16;6;2;42;9;3;4;2;99;54;4;13;20;5;3
64;22;2021-03-21 17:30:00;Zagłębie Lubin;0;Legia Warszawa;4;52;5;0;2;3;84;37;0;11;16;0;1;48;16;8;3;5;89;69;1;15;12;5;1
65;22;2021-03-21 15:00:00;Wisła Kraków;3;Stal Mielec;1;57;16;7;6;3;92;47;4;9;10;7;4;43;9;5;3;1;70;39;2;11;13;3;0
66;22;2021-03-21 12:30:00;Warta Poznań;2;Podbeskidzie;0;61;8;2;4;2;86;62;0;16;21;4;2;39;4;0;4;0;65;29;2;21;18;1;0
67;22;2021-03-20 20:00:00;Lech Poznań;2;Jagiellonia Białystok;3;68;17;5;6;6;141;84;2;17;14;8;3;32;10;6;2;2;76;34;5;12;20;4;2
68;22;2021-03-20 17:30:00;Raków Częstochowa;0;Górnik Zabrze;0;64;17;7;4;6;79;70;0;18;18;14;2;36;5;1;3;1;47;20;2;17;20;3;1
